NCBI_ID,Uniprot_ID,Gene_Name,Organism
NP_055688,Q92604,LPGAT1,Homo sapiens
NP_056473,Q9Y3T9,NOC2L,Homo sapiens
NP_057086,Q8NBX0,SCCPDH,Homo sapiens
NP_057086,A0A384NPM7,SCCPDH,Homo sapiens
NP_060531,Q5VTL8,PRPF38B,Homo sapiens
NP_060557,Q9BTX1,NDC1,Homo sapiens
NP_659471,Q8NFQ8,TOR1AIP2,Homo sapiens
NP_060221,Q9NXE4,SMPD4,Homo sapiens
NP_061900,A0AV96,RBM47,Homo sapiens
NP_057688,Q7LBC6,KDM3B,Homo sapiens
NP_061891,Q9NUU6,OTULINL,Homo sapiens
NP_116231,Q96SK2,TMEM209,Homo sapiens
NP_116231,A0A140VJX5,Not_found,Homo sapiens
NP_116117,Q8NBV4,PLPP7,Homo sapiens
NP_116117,A0A384NPM3,Not_found,Homo sapiens
NP_775961,Q8N9R8,SCAI,Homo sapiens
NP_056348,Q3LXA3,TKFC,Homo sapiens
NP_056348,A0A140VJH7,Not_found,Homo sapiens
NP_775857,Q8N4F4,SLC22A24,Homo sapiens
NP_060634,Q9NVM9,INTS13,Homo sapiens
NP_009107,Q9UKR5,ERG28,Homo sapiens
NP_009107,Q6FII3,C14orf1,Homo sapiens
NP_009107,Q86TW5,Not_found,Homo sapiens
NP_056158,O95476,CTDNEP1,Homo sapiens
NP_060640,Q96P16,RPRD1A,Homo sapiens
NP_067038,Q9NQG5,RPRD1B,Homo sapiens
NP_766431,Q8BYU6,Tor1aip2,Mus musculus
NP_694766,Q8K224,Nat10,Mus musculus
NP_064382,Q9DBE8,Alg2,Mus musculus
NP_082631,Q8VCB1,Ndc1,Mus musculus
NP_081113,Q9D0Z3,Tmem53,Mus musculus
NP_083003,Q3TZX8,Nol9,Mus musculus
NP_067278,J3QK52,Noc2l,Mus musculus
NP_067278,Q3UZI6,Noc2l,Mus musculus
NP_705798,Q8BHY2,Noc4l,Mus musculus
NP_084313,Q8BGG6,Mospd3,Mus musculus
NP_084313,Q05DT5,Mospd3,Mus musculus
NP_084313,Q3V4A2,Mospd3,Mus musculus
NP_620096,Q8QZV7,IntS13,Mus musculus
NP_080922,Q9D6M3,Slc25a22,Mus musculus
NP_080922,Q80X52,Slc25a22,Mus musculus
NP_705820,Q8BFZ9,Erlin2,Mus musculus
NP_080950,Q9DCZ9,Aph1c,Mus musculus
NP_080293,Q3TP92,Ctdnep1,Mus musculus
NP_081625,B2RY56,Rbm25,Mus musculus
NP_067421,Q9ERY9,Erg28,Mus musculus
NP_766088,Q4FZC9,Syne3,Mus musculus
NP_079663,Q9CQN6,Tmem14c,Mus musculus
NP_083179,Q8K299,Scara5,Mus musculus
NP_666167,Q8VDP4,Ccar2,Mus musculus
NP_084221,Q6ZPR5,Smpd4,Mus musculus
NP_666084,Q8R2U2,Nepro,Mus musculus
NP_666084,Q3TS42,Nepro,Mus musculus
NP_080446,Q9DC16,Ergic1,Mus musculus
NP_080446,Q4FK22,Ergic1,Mus musculus
NP_666187,Q6DVA0,Lemd2,Mus musculus
NP_659110,Q8VDS4,Rprd1a,Mus musculus
NP_663471,Q8VC30,Tkfc,Mus musculus
NP_766428,Q70UZ7,Vwa2,Mus musculus
NP_766428,Q8CE01,Vwa2,Mus musculus
XP_233702,A6IUG5,Nol9,Rattus norvegicus
