gene_name,entry_h,NE Enrich Score in U,NE Enrich Score in A,NE Enrich Score in M
Rer1,O15258,0.8126131083631404,0.2735167005651949,0.20374172780312497
Dgat1,O75907,0.7834530868292208,0.4051196215703244,0.25924248237445563
Sec61b,P60468,0.7726604388241319,0.26905564940320653,0.4590774381088969
Clec2d,Q9UHP7,0.7579206082073568,0,0
Erlin1,O75477,0.7131321108294382,0.2887253199698397,0.3005120653322191
Slc1a5,Q15758,0.7085357189614129,0.3546900443003867,0.09912869163307111
Cyb5b,O43169,0.6982212704397837,0.22386084488404323,0.30417213112053093
Rdh11,Q8TC12,0.6729050751279957,0.33489192210453245,0.35622233381177204
Mtatp8,P03928,0.6698218399825504,0.25046373091271035,0.1663021672960478
Dysf,O75923,0.6530978224382631,0.354116755450378,0.35495001666879733
Stx18,Q9P2W9,0.6198220748630207,0.11221621579620274,0.11944282562074314
Cd44,P16070,0.6160611083830071,0.23879693748203357,0.12272326317330597
Piezo1,Q92508,0.593589478333848,0.03546298305406983,0.31730463009373105
Slc3a2,P08195,0.5860006322178793,0.27463424640073375,0.19420720333844083
Nptn,Q9Y639,0.5794537705639259,0.3456627614108881,0.22327251748526156
Sgcb,Q16585,0.5686995428771622,0.26425444422303696,0.24897431636132525
Scara5,Q6ZMJ2,0.56555049162287,0.33038476546729445,0.2219797556943279
Ndufa13,Q9P0J0,0.5621744126685154,0.2768545661635145,0.23750469438488805
Bst2,Q10589,0.5588091045224375,0.31451068069883975,0.0840107720725524
Acsl1,P33121,0.5507518952065035,0.2793049801645628,0.2122743383585621
Ndufb4,O95168,0.5496074596664461,0.39519270852390864,0.21335887250867147
Cdh2,P19022,0.5219750312083457,0.1497314149759294,0.20862494915367621
Emb,Q6PCB8,0.5188962709193917,0.24995981612159343,0
Rrbp1,Q9P2E9,0.5176827504813576,0.19860228314770387,0.20161600781184993
Slc9a1,P19634,0.516807202143892,0.1876476048539519,0.07226926982562576
Fam210a,Q96ND0,0.5020970674587154,0.31336325524438957,0.18278036979568155
Tmed5,Q9Y3A6,0.8694394969741238,0.28177156343221793,0.5936740511903658
Saraf,Q96BY9,0.7525433801289568,0.2065158400617293,0.43171113200347744
Igsf8,Q969P0,0.7493394297791313,0.1133405293832957,0.43112108068716415
Lrrc59,Q96AG4,0.6969900657322662,0.25178060289763465,0.40273600493651446
Agpat1,Q99943,0.6854063005942034,0.22452824635528607,0.5554818513737908
Sgcd,Q92629,0.6842064431940538,0.16296497566168516,0.3684130252092925
Tmx3,Q96JJ7,0.6819529193182274,0.29413518703269986,0.5735029250458699
Tfrc,P02786,0.6650129289394725,0.12622022343777906,0.577863783892003
Ndufb5,O43674,0.6410748624214542,0.1852677198427037,0.3857980537219024
Ssr4,P51571,0.6323842007023952,0.250498137218083,0.3467527612539567
Cyb5a,P00167,0.6318748464273817,0.24704177431573882,0.345082932548329
Ckap4,Q07065,0.6308875938701877,0.2516456570841538,0.37057877470027273
Bsg,P35613,0.584230037500897,0.23394120727052542,0.3940114716859668
Tecr,Q9NZ01,0.5892286939916089,0.292891776177268,0.4501367386754126
Slc27a1,Q6PCB7,0.5473705898390836,0.28632475011913544,0.5135594446101517
Slc25a13,Q9UJS0,0.5347205835502993,0.15149334535630024,0.6345836348199183
Yme1l1,Q96TA2,0.5147818322014107,0.11659665881919969,0.6377393796969746
Pgrmc1,O00264,0.5169741532461127,0.3646677080383901,0.38837086162615797
Armc10,Q8N2F6,0.5498978919824201,0.24314891822025264,0.27732439499388656
Myof,Q9NZM1,0.518054611743163,0.376706629624983,0.29470264296201965
Sirpa,P78324,0.503467178127473,0,0.11225179897301459
Tmed1,Q13445,0.6251016473198835,0.504760530153991,0.1995590426794143
Wdr11,Q8WWQ0,0.12527730569505732,0.6527778390302096,0.5146671833989175
Ugt1a7,Q9HAW7,0.5474553366891083,0.5442531210262214,0.2950597727266171
Slc39a7,Q92504,0.14142299469702385,0.6790887787816008,0.43156044745288474
Man1a2,O60476,0.035239400081889374,0.5623738696090519,0.3556401741748875
Slc35e1,Q96K37,0.49062772942658256,0.5404188454333777,0.16929760873648605
Tpst2,O60704,0.2941244209199236,0.6768569769704201,0.12934915548832798
Lmf2,Q9BU23,0.23217532289900542,0.6316175965694837,0.09845693408034603
Npr3,P17342,0.18763827909050354,0.570763285305782,0
Tm9sf3,Q9HD45,0.13590163473827815,0.5426445365390895,0.2663152921861108
Tmem256,Q8N2U0,0,0.5863034971458942,0
Glt8d1,Q68CQ7,0,0.5450724522119771,0
Tspan4,O14817,0,0.6088881774941896,0
Dolk,Q9UPQ8,0,0.576442985155056,0
Tmem263,Q8WUH6,0,0.6072236075505432,0.19153592910631023
Dad1,P61803,0.5736830116665687,0.6375802452171276,0.052413623037112896
Higd2a,Q9BW72,0.43267048833545174,0.7301586199196493,0.11756585678419237
Yif1a,O95070,0.40134390436404743,0.6358911224207056,0.1296899099752769
Slc30a7,Q8NEW0,0.35362729971838985,0.5875293823088845,0.10096793686643936
Faah,O00519,0.35336356734165086,0.7664408092498254,0.2415137550706581
Aup1,Q9Y679,0.31680104772670054,0.514482145868848,0
Aplp2,Q06481,0.20344927684220032,0.5448838081658384,0.14018467689024422
