UniprotID,GeneName,Schirmer_2003,Korfali_2010,Wilkie_2010,Korfali_2012,Korfali_2012_NE:MM-ratio,Cheng_2019,Cheng_2019_Score:Undiff,Cheng_2019_Score:Adipo,Cheng_2019_Score:Myo,#ProteomePapers
Q92604,LPGAT1,1,1,1,1,0.17,0,0.0,0.0,0.0,4
Q9Y3T9,NOC2L,1,1,1,0,0.0,0,0.0,0.0,0.0,3
Q8NBX0,SCCPDH,1,1,1,1,0.16,0,0.0,0.0,0.0,4
A0A384NPM7,SCCPDH,1,0,0,0,0.0,0,0.0,0.0,0.0,1
Q5VTL8,PRPF38B,1,1,0,0,0.0,0,0.0,0.0,0.0,2
Q9BTX1,NDC1,1,1,1,1,inf,1,0.6741219781349772,0.7408157810700401,0.8967187880184209,5
Q8NFQ8,TOR1AIP2,1,1,0,1,0.09,0,0.0,0.0,0.0,3
Q9NXE4,SMPD4,1,1,1,1,105.61,1,0.93269966220108,0.8952355166637649,0.9834446545575042,5
A0AV96,RBM47,1,1,0,0,0.0,0,0.0,0.0,0.0,2
Q7LBC6,KDM3B,1,1,0,0,0.0,0,0.0,0.0,0.0,2
Q9NUU6,OTULINL,1,1,0,1,inf,0,0.0,0.0,0.0,3
Q96SK2,TMEM209,1,1,1,1,inf,1,0.9038618187661478,0.8793833578745339,0.9005772833118943,5
Q8NBV4,PLPP7,1,0,1,1,4.42,0,0.0,0.0,0.0,3
Q8N9R8,SCAI,1,0,1,0,0.0,0,0.0,0.0,0.0,2
Q3LXA3,TKFC,1,1,0,1,0.34,0,0.0,0.0,0.0,3
Q8N4F4,SLC22A24,1,0,0,1,inf,0,0.0,0.0,0.0,2
Q9NVM9,INTS13,1,0,0,0,0.0,0,0.0,0.0,0.0,1
Q9UKR5,ERG28,1,1,0,1,2.73,0,0.0,0.0,0.0,3
Q6FII3,C14orf1,1,0,0,0,0.0,0,0.0,0.0,0.0,1
O95476,CTDNEP1,1,1,1,1,0.35,0,0.0,0.0,0.0,4
Q96P16,RPRD1A,1,0,0,0,0.0,0,0.0,0.0,0.0,1
Q9NQG5,RPRD1B,1,1,0,0,0.0,0,0.0,0.0,0.0,2
Q9H0A0,Nat10,1,1,1,0,0.0,0,0.0,0.0,0.0,3
O75340,Alg2,1,1,0,1,0.66,1,0.4323812093143777,0.4942484771956809,0.7102093649213709,4
Q6P2H8,Tmem53,1,0,0,1,2.57,0,0.0,0.0,0.0,2
Q5SY16,Nol9,1,1,1,0,0.0,0,0.0,0.0,0.0,3
Q9BVI4,Noc4l,1,1,1,0,0.0,1,0.4142648859503712,0.6455198063955211,0.3630244418664892,4
O75425,Mospd3,1,0,1,1,1.21,0,0.0,0.0,0.0,3
Q9H936,Slc25a22,1,0,0,1,5.63,0,0.0,0.0,0.0,2
O94905,Erlin2,1,1,1,1,4.96,0,0.0,0.0,0.0,4
P49756,Rbm25,1,1,1,0,0.0,0,0.0,0.0,0.0,3
Q6ZMZ3,Syne3,1,1,1,1,inf,1,0.979371197526764,0.8946666026137249,1.0,5
Q9P0S9,Tmem14c,1,1,1,1,16.62,1,0.4725095779601957,0.5579727967924337,0.6622634977759655,5
Q6ZMJ2,Scara5,1,0,0,1,0.1,1,0.56555049162287,0.3303847654672944,0.2219797556943279,3
Q8N163,Ccar2,1,1,0,1,inf,0,0.0,0.0,0.0,3
Q6NW34,Nepro,1,0,0,0,0.0,0,0.0,0.0,0.0,1
Q969X5,Ergic1,1,1,1,1,2.25,0,0.0,0.0,0.0,4
Q8NC56,Lemd2,1,1,1,1,98.51,1,0.8546747378355506,0.668287009515802,0.9809776110493696,5
Q5GFL6,Vwa2,1,0,0,0,0.0,0,0.0,0.0,0.0,1
Q9UH99,SUN2,0,1,1,1,74.71,1,0.917980252722086,0.8562839971567991,0.9792842699948928,4
P42166,TMPO,0,1,0,1,531.21,1,0.7855267330020482,0.5221378744123918,0.5251148740095454,3
Q14739,LBR,0,1,1,1,inf,1,0.6430857171191001,0.8872235216356129,0.8392866309492312,4
Q8TEM1,NUP210,0,1,1,1,inf,0,0.0,0.0,0.0,3
Q9BTV4,TMEM43,0,1,1,1,6.55,1,0.7388337388857177,0.6607883319021107,0.5348738226498856,4
Q5JTV8,TOR1AIP1,0,1,1,1,1613.57,1,0.8725088145693706,0.6168108952660513,0.7984363769711873,4
P50402,EMD,0,1,1,1,20.24,1,0.603330246805736,0.6989947022433876,0.629420530754914,4
Q8IXM6,NRM,0,1,1,1,inf,0,0.0,0.0,0.0,3
Q8WXH0,SYNE2,0,1,1,1,inf,1,0.990823560457748,0.8932111382367451,1.0,4
Q8NF91,SYNE1,0,1,1,1,inf,1,0.971846654884756,0.925595188387316,0.9796251657068464,4
Q9Y2U8,LEMD3,0,1,1,1,inf,1,0.9613635604257867,0.9438324625566684,1.0,4
O94901,SUN1,0,1,1,1,inf,1,0.9655767250399336,0.8338007952960839,0.976783034986516,4
A8CG34,POM121C,0,1,1,1,inf,0,0.0,0.0,0.0,3
Q86WV6,STING1,0,1,0,1,inf,0,0.0,0.0,0.0,2
Q63HN8,RNF213,0,1,0,0,0.0,0,0.0,0.0,0.0,1
Q9Y394,DHRS7,0,1,0,1,inf,0,0.0,0.0,0.0,2
Q969V3,NCLN,0,1,0,1,0.23,1,0.3796378106692758,0.6465077223540397,0.7602210102649299,3
