UniprotID,Results,Uniprot_NEorER,Uniprot_subcell
Q92604,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q92604', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '15485873'}], 'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '15485873'}], 'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",1.0,Endoplasmic reticulum membrane
Q9Y3T9,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9Y3T9', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'value': 'Translocates from the nucleoli to the nucleoplasm in presence of several stressors like ultraviolet irradiation and actinomycin-D. Predominantly detected in the nucleoli in non-mitotic cells. Predominantly detected in nucleoplasma in cells undergoing mitosis'}]}, 'subcellularLocations': [{'location': {'value': 'Nucleus, nucleoplasm', 'id': 'SL-0190'}}, {'location': {'value': 'Nucleus, nucleolus', 'id': 'SL-0188'}}]}]}",0.0,"Nucleus, nucleoplasm, Nucleus, nucleolus"
Q8NBX0,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q8NBX0', 'comments': []}",0.0,
A0A384NPM7,"{'entryType': 'UniProtKB unreviewed (TrEMBL)', 'primaryAccession': 'A0A384NPM7', 'comments': []}",0.0,
Q5VTL8,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q5VTL8', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000305'}], 'value': 'Nucleus', 'id': 'SL-0191'}}]}]}",0.0,Nucleus
Q9BTX1,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9BTX1', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'note': {'texts': [{'value': 'Central core structure of the nuclear pore complex'}]}, 'subcellularLocations': [{'location': {'value': 'Nucleus, nuclear pore complex', 'id': 'SL-0185'}}, {'location': {'value': 'Nucleus membrane', 'id': 'SL-0182'}, 'topology': {'value': 'Multi-pass membrane protein', 'id': 'SL-9909'}}]}]}",0.0,"Nucleus, nuclear pore complex, Nucleus membrane"
Q8NFQ8,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q8NFQ8', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'value': 'Single-pass membrane protein', 'id': 'SL-9904'}}, {'location': {'value': 'Nucleus membrane', 'id': 'SL-0182'}}]}]}",0.0,"Endoplasmic reticulum membrane, Nucleus membrane"
Q9NXE4,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q9NXE4', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '16517606'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '18505924'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31495489'}], 'value': 'Endoplasmic reticulum membrane', 'id': 'SL-0097'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000255'}], 'value': 'Single-pass membrane protein', 'id': 'SL-9904'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '16517606'}], 'value': 'Golgi apparatus membrane', 'id': 'SL-0134'}, 'topology': {'evidences': [{'evidenceCode': 'ECO:0000255'}], 'value': 'Single-pass membrane protein', 'id': 'SL-9904'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '31495489'}], 'value': 'Nucleus envelope', 'id': 'SL-0178'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000250', 'source': 'UniProtKB', 'id': 'Q6ZPR5'}], 'value': 'Cell membrane, sarcolemma', 'id': 'SL-0238'}}]}]}",1.0,"Endoplasmic reticulum membrane, Golgi apparatus membrane, Nucleus envelope, Cell membrane, sarcolemma"
A0AV96,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'A0AV96', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '24038582'}, {'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '24916387'}], 'value': 'Nucleus', 'id': 'SL-0191'}}, {'location': {'evidences': [{'evidenceCode': 'ECO:0000269', 'source': 'PubMed', 'id': '24916387'}], 'value': 'Cytoplasm', 'id': 'SL-0086'}}]}]}",0.0,"Nucleus, Cytoplasm"
Q7LBC6,"{'entryType': 'UniProtKB reviewed (Swiss-Prot)', 'primaryAccession': 'Q7LBC6', 'comments': [{'commentType': 'SUBCELLULAR LOCATION', 'subcellularLocations': [{'location': {'evidences': [{'evidenceCode': 'ECO:0000250'}], 'value': 'Nucleus', 'id': 'SL-0191'}}]}]}",0.0,Nucleus
